,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption,Total (recorded+unrecorded) alcohol per capita (15+) consumption
,2018,2018,2018,2015,2015,2015,2010,2010,2010,2005,2005,2005,2000,2000,2000
Country,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,7,12,3,7,11,3,8,13,3,8,12,3,7,11,3
Algeria,1,2,0,1,2,0,1,1,0,1,1,0,1,1,0
Andorra,11,17,5,11,17,5,11,17,5,13,19,6,13,20,7
Angola,7,11,3,8,13,4,8,13,4,5,8,2,3,4,1
Antigua and Barbuda,6,10,3,6,10,3,6,9,3,5,9,2,5,8,2
Argentina,10,15,5,10,15,5,9,14,4,9,14,4,9,14,4
Armenia,6,9,3,6,10,3,6,9,3,6,10,3,4,7,2
Australia,11,16,5,11,16,5,12,19,6,12,18,6,12,18,6
Austria,12,19,6,12,19,6,12,19,6,13,20,6,13,20,6
Azerbaijan,4,8,2,5,8,2,3,5,1,2,3,1,4,6,1
Bahamas,5,8,2,5,7,2,4,7,2,4,7,2,6,9,3
Bahrain,1,2,0,1,2,0,2,2,1,2,3,1,2,3,1
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,10,16,4,9,15,4,8,13,3,7,12,3,7,12,3
Belarus,11,19,5,12,20,6,17,28,9,15,25,7,15,25,7
Belgium,11,17,5,12,18,6,11,18,5,13,20,6,13,19,6
Belize,6,10,3,7,11,3,7,11,3,7,11,3,6,9,2
Benin,3,5,1,3,5,1,3,4,1,2,4,1,3,4,1
Bhutan,0,1,0,0,1,0,1,1,0,2,3,1,3,4,1
Bolivia (Plurinational State of),4,7,2,5,7,2,6,9,3,4,7,2,3,5,2
Bosnia and Herzegovina,7,12,3,7,12,3,7,12,3,7,12,3,6,11,2
Botswana,7,11,3,7,11,3,9,14,3,10,16,4,9,15,3
Brazil,7,12,3,8,13,4,9,14,4,8,13,4,9,14,4
Brunei Darussalam,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
Bulgaria,13,20,6,12,20,6,11,18,5,11,18,5,12,19,5
Burkina Faso,12,20,4,12,20,4,9,15,3,9,16,3,8,14,3
Burundi,7,12,3,7,12,3,8,13,3,8,14,3,10,16,4
Cabo Verde,6,9,2,6,9,3,8,12,3,7,11,3,6,10,3
Cambodia,7,11,3,6,11,3,5,8,2,3,4,1,2,3,1
Cameroon,6,9,2,6,10,3,8,13,4,8,12,3,7,11,3
Canada,9,14,4,9,14,4,10,16,5,0,0,0,0,0,0
Central African Republic,2,4,1,2,4,1,4,6,2,4,6,2,4,6,2
Chad,1,2,1,2,2,1,7,11,2,5,8,2,4,7,2
Chile,9,14,4,9,14,5,9,14,5,9,14,4,8,12,4
China,7,11,3,7,11,3,7,11,3,4,6,2,4,6,2
Colombia,6,9,2,6,9,2,5,8,2,5,9,2,6,9,2
Comoros,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0
Congo,9,15,4,8,13,3,6,10,3,4,6,2,4,5,2
Costa Rica,5,8,2,5,8,2,5,8,2,5,9,2,6,9,2
C̫te d'Ivoire,3,4,1,3,4,1,3,4,1,3,5,1,7,11,3
Croatia,9,15,4,9,15,4,10,16,5,10,16,5,13,20,6
Cuba,6,9,2,6,9,2,5,8,2,5,9,2,5,8,2
Cyprus,11,17,5,11,17,5,11,18,5,12,19,6,11,17,5
Czechia,14,22,7,14,22,7,14,22,7,15,23,7,15,23,7
Democratic People's Republic of Korea,4,6,2,4,6,2,4,6,2,4,6,2,4,6,1
Democratic Republic of the Congo,2,3,1,2,3,1,2,3,1,1,1,0,1,2,0
Denmark,10,16,5,10,16,5,11,17,5,12,19,6,13,20,6
Djibouti,0,1,0,1,1,0,1,1,0,1,2,0,2,3,0
Dominica,11,18,5,11,18,5,10,16,4,9,14,4,8,14,3
Dominican Republic,7,11,3,7,11,3,6,10,3,6,10,3,7,12,3
Ecuador,4,6,2,5,8,2,6,9,3,6,9,3,6,9,3
Egypt,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
El Salvador,4,7,2,4,6,2,3,6,1,4,6,2,4,6,2
Equatorial Guinea,7,10,3,9,13,4,9,13,4,9,13,4,8,11,3
Eritrea,1,2,1,1,2,1,1,2,1,2,3,1,2,3,1
Estonia,9,15,4,12,20,6,12,20,6,16,25,8,10,16,4
Eswatini,10,17,4,10,17,4,7,12,3,7,11,3,8,13,3
Ethiopia,2,4,1,2,4,1,3,4,1,2,3,1,2,3,1
Fiji,3,6,1,3,6,1,3,5,1,3,5,1,3,5,1
Finland,11,17,5,11,17,5,13,20,6,13,20,6,12,18,6
France,12,19,6,13,20,6,12,19,6,13,20,6,14,22,7
Gabon,9,13,4,10,14,4,10,15,5,9,14,4,11,16,5
Gambia,4,6,1,4,6,1,4,7,1,4,7,1,4,7,1
Georgia,8,14,4,10,16,4,10,16,4,6,11,3,4,7,2
Germany,13,20,6,13,20,6,13,20,6,13,21,6,14,22,7
Ghana,3,4,1,3,5,1,4,7,2,4,6,2,5,8,2
Greece,10,16,5,11,17,5,10,15,4,11,17,5,10,16,5
Grenada,10,15,4,9,14,4,8,13,4,9,14,4,10,16,4
Guatemala,2,4,1,3,4,1,4,6,2,4,7,2,4,7,2
Guinea,1,2,0,1,2,0,1,1,0,1,1,0,1,1,0
Guinea-Bissau,5,9,2,5,8,2,5,8,2,5,9,2,4,7,2
Guyana,7,11,3,7,12,3,7,11,3,8,13,3,9,15,4
Haiti,3,5,1,3,4,1,3,5,1,4,6,2,4,7,2
Honduras,4,6,2,4,6,1,4,6,2,4,6,2,4,6,1
Hungary,11,18,5,12,19,6,12,19,6,15,23,7,14,23,7
Iceland,9,14,4,9,13,4,8,11,4,8,12,4,7,11,3
India,6,9,2,6,9,2,4,7,2,2,4,1,2,4,1
Indonesia,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Iran (Islamic Republic of),1,2,0,1,2,0,1,2,0,1,1,0,0,0,0
Iraq,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0
Ireland,13,20,6,13,19,6,12,18,6,14,21,7,15,23,8
Israel,4,7,2,4,6,2,3,5,1,3,4,1,3,5,1
Italy,8,13,4,8,12,3,7,12,3,9,15,4,10,16,5
Jamaica,4,7,2,4,7,2,4,7,2,4,7,2,5,8,2
Japan,8,12,4,8,12,4,7,11,4,8,12,4,8,13,4
Jordan,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
Kazakhstan,5,8,2,5,8,2,5,8,2,9,16,4,8,14,3
Kenya,3,5,1,3,5,1,3,5,1,3,5,1,4,6,2
Kiribati,1,1,0,1,1,0,2,3,1,2,4,1,2,3,1
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyzstan,6,11,2,8,13,2,10,17,3,11,19,4,10,16,3
Lao People's Democratic Republic,11,17,5,10,16,4,7,11,3,4,7,2,5,8,2
Latvia,13,21,6,13,21,6,12,19,6,12,20,6,9,15,4
Lebanon,2,3,1,2,3,1,2,3,1,2,4,1,3,5,1
Lesotho,5,8,2,5,8,2,7,11,2,5,9,2,7,13,3
Liberia,6,10,3,6,9,2,5,9,2,6,10,3,6,10,3
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania,13,21,7,15,25,8,15,25,8,16,26,8,13,22,6
Luxembourg,13,20,6,13,20,7,13,20,6,14,21,7,14,22,7
Madagascar,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1
Malawi,4,6,1,4,6,1,3,5,1,3,5,1,2,4,1
Malaysia,1,1,0,1,1,0,1,2,1,1,2,1,2,3,1
Maldives,2,3,1,2,3,1,2,3,0,2,3,0,2,4,1
Mali,1,2,0,1,2,0,1,2,0,1,2,0,1,2,0
Malta,8,12,4,8,12,3,7,10,3,7,10,3,6,9,3
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritius,4,7,2,4,6,2,4,6,2,5,8,2,6,9,2
Mexico,5,8,2,5,8,2,5,8,2,7,10,3,6,10,3
Micronesia (Federated States of),3,4,1,2,4,1,3,5,1,3,5,1,4,6,1
Mongolia,8,13,4,11,17,5,10,15,4,5,8,2,3,5,1
Montenegro,12,18,5,11,17,5,15,24,7,0,0,0,0,0,0
Morocco,1,1,0,1,1,0,1,2,0,1,2,0,1,2,0
Mozambique,2,4,1,2,4,1,2,3,1,1,2,1,2,4,1
Myanmar,5,8,2,4,7,2,3,5,1,2,3,1,0,1,0
Namibia,5,9,2,5,9,2,2,3,1,3,5,1,3,6,1
Nauru,4,6,1,4,6,1,6,10,2,3,6,1,6,10,2
Nepal,2,4,1,2,4,1,2,3,1,2,3,1,1,2,0
Netherlands,10,15,5,10,15,5,10,16,5,11,17,5,11,17,5
New Zealand,11,16,5,10,16,5,11,18,6,11,17,5,10,16,5
Nicaragua,5,9,2,5,8,2,5,8,2,5,9,2,5,8,2
Niger,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
Nigeria,11,17,4,11,17,4,12,19,5,13,20,5,13,20,5
Niue,11,17,4,10,16,4,7,12,3,8,13,3,9,14,3
Norway,7,11,4,8,11,4,9,14,4,9,14,4,8,12,4
Oman,1,1,0,1,1,0,1,1,0,2,2,0,7,10,2
Pakistan,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Panama,8,13,3,8,12,3,7,11,3,6,9,2,6,9,2
Papua New Guinea,1,2,1,1,2,1,2,3,1,2,3,1,2,3,1
Paraguay,8,12,3,7,11,3,8,12,3,7,10,3,6,10,3
Peru,6,10,3,7,10,3,8,12,4,7,11,3,7,10,3
Philippines,7,11,3,7,11,3,7,11,3,6,9,2,6,10,3
Poland,12,18,6,12,18,6,11,18,5,11,17,5,9,15,4
Portugal,12,19,6,12,19,6,13,20,6,13,21,6,14,22,7
Qatar,2,2,0,2,2,0,2,2,0,2,2,0,1,2,0
Republic of Korea,10,15,5,10,15,5,10,15,5,11,16,5,12,19,6
Republic of Moldova,11,18,5,12,19,6,16,24,8,20,31,10,14,22,7
North Macedonia,6,10,2,6,10,2,6,10,2,7,11,3,7,12,3
Romania,12,19,6,12,18,5,14,22,7,16,25,8,17,27,8
Russian Federation,11,19,5,13,21,5,16,27,7,17,29,8,16,26,7
Rwanda,9,15,4,9,15,4,10,17,4,13,21,6,14,22,6
Saint Kitts and Nevis,9,14,4,9,14,4,9,15,4,12,18,5,10,15,4
Saint Lucia,11,17,4,10,16,4,10,16,4,12,19,5,12,19,5
Saint Vincent and the Grenadines,9,14,4,9,13,3,7,11,3,6,10,2,5,8,2
Samoa,3,4,1,3,4,1,3,5,1,4,7,1,4,6,1
Sao Tome and Principe,6,9,3,7,11,3,8,13,4,9,14,4,8,13,4
Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,1,1,0,1,1,0,1,1,0,1,2,0,1,2,0
Serbia,9,14,4,9,14,4,12,19,5,0,0,0,0,0,0
Seychelles,21,32,10,18,29,8,10,16,4,6,10,3,8,12,3
Sierra Leone,6,10,2,6,10,2,6,10,2,6,10,2,6,10,2
Singapore,2,3,1,2,3,1,2,3,1,2,3,1,3,4,1
Slovakia,11,17,5,12,18,6,12,19,6,12,19,6,13,20,6
Slovenia,12,18,6,13,20,6,12,18,6,12,19,6,13,20,6
Solomon Islands,2,3,1,2,3,1,2,3,1,2,3,1,1,2,0
Somalia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
South Africa,10,16,4,10,16,4,10,17,4,10,16,4,10,17,4
Spain,13,20,6,11,18,5,10,16,5,13,20,6,12,19,6
Sri Lanka,4,7,2,4,7,2,4,6,2,3,4,1,2,4,1
Sudan,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Suriname,5,9,2,6,9,2,6,10,3,5,9,2,5,9,2
Sweden,9,14,4,9,14,4,10,15,4,9,13,4,9,13,4
Switzerland,12,18,6,12,18,6,11,18,6,12,18,6,13,19,6
Syrian Arab Republic,0,0,0,0,1,0,1,2,0,1,2,0,1,2,0
Tajikistan,3,6,1,3,5,1,2,4,1,3,4,1,3,5,1
Thailand,8,13,4,8,14,4,8,13,3,7,11,3,7,11,3
Timor-Leste,2,3,1,2,3,1,1,1,0,1,1,0,2,2,1
Togo,3,4,1,2,4,1,2,3,1,3,5,1,2,3,1
Tonga,1,1,0,1,1,0,1,2,1,2,4,1,2,3,1
Trinidad and Tobago,7,11,3,7,11,3,6,10,3,6,10,3,5,8,2
Tunisia,2,4,1,2,4,1,1,3,0,2,3,0,1,2,0
Turkey,2,4,1,2,4,1,2,4,1,2,4,1,2,4,1
Turkmenistan,5,8,2,5,9,2,5,8,2,5,8,2,5,8,2
Tuvalu,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1
Uganda,15,25,6,15,25,6,14,22,6,13,21,5,14,22,6
Ukraine,8,14,4,10,17,5,14,22,6,12,20,6,13,21,5
United Arab Emirates,4,5,1,4,5,1,3,4,1,4,5,1,3,3,1
United Kingdom of Great Britain and Northern Ireland,11,18,5,11,17,5,12,19,6,14,22,7,14,21,7
United Republic of Tanzania,11,19,4,11,18,4,10,16,4,9,15,3,9,14,3
United States of America,10,15,5,10,15,5,9,15,4,10,15,5,9,14,4
Uruguay,7,11,3,7,11,3,7,11,3,8,12,4,8,13,4
Uzbekistan,3,5,1,3,4,1,3,5,1,4,7,1,6,10,2
Vanuatu,2,4,1,2,4,1,2,3,1,1,2,0,1,2,0
Venezuela (Bolivarian Republic of),4,7,2,7,11,3,9,14,4,9,15,4,9,14,4
Viet Nam,9,14,4,8,13,3,5,8,2,3,4,1,2,4,1
Yemen,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Zambia,7,11,3,7,11,3,5,9,2,4,6,2,4,7,2
Zimbabwe,5,8,2,5,8,2,4,7,1,3,5,1,3,4,1
